transaction_id,customer_id,transaction_date,amount,status,payment_method,region,plan
T00046,C056,2024-01-08,900,success,bank,Singapore,Enterprise
T00047,C051,2024-02-02,1200,success,card,US,Enterprise
T00048,C082,2024-05-10,350,success,upi,US,Pro
T00049,C099,2024-04-08,350,success,card,Germany,Pro
T00050,C073,2024-01-12,99,failed,upi,Germany,Basic
T00051,C034,2024-04-09,700,success,bank,Germany,Enterprise
T00052,C037,2024-03-21,900,success,bank,Singapore,Enterprise
T00053,C057,2024-05-01,120,success,card,US,Basic
T00054,C080,2024-01-20,250,success,upi,UK,Pro
T00055,C068,2024-04-10,150,success,bank,Germany,Basic
T00056,C046,2024-01-02,250,success,upi,India,Pro
T00057,C073,2024-02-06,700,success,card,Singapore,Enterprise
T00058,C010,2024-06-09,1200,success,upi,India,Enterprise
T00059,C066,2024-02-06,300,success,card,India,Pro
T00060,C021,2024-01-13,300,success,upi,UK,Pro
T00061,C028,2024-06-28,250,failed,card,India,Pro
T00062,C052,2024-04-19,120,success,bank,US,Basic
T00063,C081,2024-05-17,99,success,card,US,Basic
T00064,C053,2024-04-21,700,failed,upi,UK,Enterprise
T00065,C071,2024-04-17,350,success,upi,US,Pro
T00066,C094,2024-04-19,900,success,card,Singapore,Enterprise
T00067,C020,2024-04-19,1200,success,upi,India,Enterprise
T00068,C029,2024-05-01,900,success,upi,US,Enterprise
T00069,C099,2024-05-13,300,success,card,Germany,Pro
T00070,C046,2024-02-09,99,success,card,Singapore,Basic
T00071,C056,2024-05-06,700,failed,card,Germany,Enterprise
T00072,C031,2024-04-10,700,success,upi,India,Enterprise
T00073,C026,2024-01-09,700,success,bank,India,Enterprise
T00074,C002,2024-05-01,900,success,card,Germany,Enterprise
T00075,C091,2024-05-09,120,success,bank,Germany,Basic
T00076,C050,2024-03-17,350,success,upi,UK,Pro
T00077,C046,2024-03-16,99,success,card,Germany,Basic
T00078,C002,2024-05-03,150,success,card,India,Basic
T00079,C074,2024-06-14,120,success,card,India,Basic
T00080,C032,2024-03-17,99,failed,card,UK,Basic
T00081,C097,2024-02-02,900,success,card,Singapore,Enterprise
T00082,C097,2024-02-13,150,success,bank,Singapore,Basic
T00083,C092,2024-06-03,1200,success,upi,India,Enterprise
T00084,C009,2024-05-27,300,success,upi,Germany,Pro
T00085,C006,2024-06-01,700,success,card,Germany,Enterprise
T00086,C024,2024-01-12,700,success,bank,Germany,Enterprise
T00087,C011,2024-05-11,120,success,upi,Germany,Basic
T00088,C051,2024-06-27,350,failed,upi,US,Pro
T00089,C066,2024-03-25,300,success,upi,UK,Pro
T00090,C032,2024-06-20,1200,success,card,India,Enterprise
T00091,C017,2024-05-02,99,failed,upi,Germany,Basic
T00092,C021,2024-06-20,300,success,bank,India,Pro
T00093,C033,2024-01-13,1200,success,bank,India,Enterprise
T00094,C081,2024-03-23,150,success,card,Germany,Basic
T00095,C089,2024-03-02,150,success,upi,Singapore,Basic
T00096,C014,2024-01-04,700,success,bank,Singapore,Enterprise
T00097,C008,2024-04-26,300,success,bank,Singapore,Pro
T00098,C067,2024-02-15,900,success,upi,Germany,Enterprise
T00099,C084,2024-03-07,120,success,bank,US,Basic
T00100,C084,2024-02-26,250,failed,card,Singapore,Pro
T00101,C058,2024-01-01,99,success,card,India,Basic
T00102,C046,2024-03-20,350,failed,card,US,Pro
T00103,C055,2024-05-28,300,success,card,UK,Pro
T00104,C048,2024-06-01,250,success,card,Germany,Pro
T00105,C032,2024-06-10,300,success,card,Germany,Pro
T00106,C021,2024-06-07,150,success,bank,India,Basic
T00107,C030,2024-01-28,120,success,bank,Germany,Basic
T00108,C045,2024-02-20,900,success,upi,India,Enterprise
T00109,C092,2024-05-14,700,success,card,US,Enterprise
T00110,C032,2024-02-29,150,success,upi,India,Basic
T00111,C039,2024-02-24,900,success,card,US,Enterprise
T00112,C080,2024-01-19,250,success,bank,Singapore,Pro
T00113,C037,2024-01-16,150,success,card,UK,Basic
T00114,C010,2024-02-17,900,success,bank,Singapore,Enterprise
T00115,C072,2024-06-29,900,success,upi,India,Enterprise
T00116,C032,2024-01-14,120,success,bank,UK,Basic
T00117,C089,2024-02-07,99,success,card,UK,Basic
T00118,C048,2024-06-23,700,success,upi,India,Enterprise
T00119,C005,2024-05-31,120,success,bank,India,Basic
T00120,C027,2024-04-21,99,success,upi,US,Basic
T00121,C004,2024-06-14,99,success,card,US,Basic
T00122,C086,2024-05-31,99,failed,card,India,Basic
T00123,C043,2024-03-12,150,success,bank,India,Basic
T00124,C075,2024-05-31,120,success,card,US,Basic
T00125,C081,2024-02-24,1200,success,bank,Singapore,Enterprise
T00126,C046,2024-01-16,250,success,bank,US,Pro
T00127,C068,2024-05-06,120,success,bank,UK,Basic
T00128,C029,2024-03-26,1200,success,card,US,Enterprise
T00129,C056,2024-03-07,250,failed,upi,Singapore,Pro
T00130,C030,2024-02-13,250,success,bank,US,Pro
T00131,C059,2024-06-19,300,success,card,UK,Pro
T00132,C030,2024-01-11,250,success,card,US,Pro
T00133,C040,2024-04-30,120,success,upi,India,Basic
T00134,C034,2024-06-29,900,success,card,UK,Enterprise
T00135,C093,2024-02-15,99,failed,card,US,Basic
T00136,C013,2024-02-15,120,success,card,Germany,Basic
T00137,C075,2024-04-26,120,success,bank,Singapore,Basic
T00138,C083,2024-05-05,1200,success,upi,US,Enterprise
T00139,C040,2024-04-21,99,success,card,India,Basic
T00140,C074,2024-01-08,900,success,bank,US,Enterprise
T00141,C064,2024-06-11,900,success,bank,US,Enterprise
T00142,C088,2024-03-09,99,success,card,US,Basic
T00143,C099,2024-01-06,900,success,upi,US,Enterprise
T00144,C066,2024-06-04,150,success,upi,Singapore,Basic
T00145,C070,2024-01-09,99,failed,upi,Germany,Basic
T00146,C045,2024-05-25,700,success,upi,Singapore,Enterprise
T00147,C005,2024-05-23,120,success,bank,Germany,Basic
T00148,C030,2024-05-07,700,success,bank,Germany,Enterprise
T00149,C040,2024-03-18,1200,success,upi,US,Enterprise
T00150,C011,2024-05-26,300,success,card,US,Pro
T00151,C049,2024-01-19,1200,success,bank,Singapore,Enterprise
T00152,C043,2024-01-09,1200,success,card,US,Enterprise
T00153,C094,2024-06-11,250,success,upi,Singapore,Pro
T00154,C022,2024-06-06,99,success,upi,India,Basic
T00155,C061,2024-06-09,120,failed,card,US,Basic
T00156,C079,2024-01-06,900,success,upi,UK,Enterprise
T00157,C100,2024-02-15,700,success,upi,India,Enterprise
T00158,C002,2024-05-30,350,success,upi,UK,Pro
T00159,C019,2024-06-16,150,success,upi,US,Basic
T00160,C097,2024-06-27,1200,success,bank,India,Enterprise
T00161,C044,2024-01-07,300,failed,card,India,Pro
T00162,C033,2024-05-02,900,success,bank,US,Enterprise
T00163,C061,2024-02-16,900,success,card,UK,Enterprise
T00164,C041,2024-03-24,900,success,upi,India,Enterprise
T00165,C086,2024-05-20,350,success,bank,India,Pro
T00166,C062,2024-02-09,1200,success,upi,Germany,Enterprise
T00167,C049,2024-04-08,250,success,upi,Singapore,Pro
T00168,C055,2024-04-12,900,success,bank,US,Enterprise
T00169,C100,2024-06-11,1200,success,upi,Germany,Enterprise
T00170,C098,2024-01-06,99,success,card,US,Basic
T00171,C036,2024-02-03,350,success,upi,US,Pro
T00172,C092,2024-04-11,99,success,card,US,Basic
T00173,C016,2024-06-14,150,success,bank,Singapore,Basic
T00174,C051,2024-02-17,350,success,card,India,Pro
T00175,C021,2024-02-18,99,success,upi,India,Basic
T00176,C084,2024-04-10,1200,success,upi,UK,Enterprise
T00177,C099,2024-01-20,150,success,card,Germany,Basic
T00178,C073,2024-06-01,1200,success,upi,Singapore,Enterprise
T00179,C025,2024-05-02,1200,failed,card,US,Enterprise
T00180,C077,2024-02-26,150,success,upi,Singapore,Basic
T00181,C057,2024-04-01,99,success,upi,Germany,Basic
T00182,C084,2024-06-09,300,success,bank,Singapore,Pro
T00183,C033,2024-04-18,900,success,bank,Germany,Enterprise
T00184,C087,2024-02-02,900,success,upi,US,Enterprise
T00185,C027,2024-05-08,150,success,upi,UK,Basic
T00186,C072,2024-05-28,300,success,bank,Singapore,Pro
T00187,C008,2024-02-09,1200,success,upi,India,Enterprise
T00188,C100,2024-01-06,300,success,card,US,Pro
T00189,C018,2024-03-13,350,success,bank,UK,Pro
T00190,C026,2024-02-24,120,success,card,Germany,Basic
T00191,C039,2024-04-20,350,success,upi,US,Pro
T00192,C100,2024-04-04,900,success,bank,US,Enterprise
T00193,C064,2024-04-17,120,success,card,Singapore,Basic
T00194,C011,2024-02-04,99,success,card,Germany,Basic
T00195,C064,2024-05-07,1200,success,upi,Germany,Enterprise
T00196,C096,2024-04-02,700,success,card,UK,Enterprise
T00197,C016,2024-03-29,700,success,card,US,Enterprise
T00198,C030,2024-05-31,350,success,bank,Singapore,Pro
T00199,C081,2024-01-15,900,success,bank,India,Enterprise
T00200,C091,2024-05-14,300,success,card,India,Pro
T00201,C058,2024-04-27,350,failed,upi,UK,Pro
T00202,C005,2024-05-21,1200,success,bank,Singapore,Enterprise
T00203,C021,2024-03-30,300,success,upi,India,Pro
T00204,C089,2024-05-09,300,success,card,India,Pro
T00205,C002,2024-04-14,300,success,upi,UK,Pro
T00206,C084,2024-01-04,120,success,card,Singapore,Basic
T00207,C099,2024-06-14,350,success,card,Singapore,Pro
T00208,C001,2024-04-26,1200,success,card,US,Enterprise
T00209,C005,2024-01-24,150,success,upi,Singapore,Basic
T00210,C017,2024-01-16,900,success,upi,India,Enterprise
T00211,C002,2024-03-09,99,success,bank,Singapore,Basic
T00212,C094,2024-03-18,350,success,bank,UK,Pro
T00213,C095,2024-05-06,120,success,bank,US,Basic
T00214,C021,2024-03-16,700,success,upi,Singapore,Enterprise
T00215,C094,2024-01-27,120,success,upi,Germany,Basic
T00216,C083,2024-01-20,300,success,card,US,Pro
T00217,C052,2024-05-29,900,success,bank,India,Enterprise
T00218,C024,2024-02-29,1200,success,upi,Singapore,Enterprise
T00219,C077,2024-04-05,300,success,bank,UK,Pro
T00220,C071,2024-03-08,1200,success,bank,US,Enterprise
T00221,C026,2024-02-06,150,success,bank,UK,Basic
T00222,C053,2024-04-01,300,success,card,India,Pro
T00223,C072,2024-04-27,120,success,upi,Singapore,Basic
T00224,C094,2024-05-28,250,success,bank,US,Pro
T00225,C088,2024-03-28,150,success,card,India,Basic
T00226,C010,2024-02-13,700,success,card,US,Enterprise
T00227,C057,2024-01-11,700,success,upi,India,Enterprise
T00228,C009,2024-02-19,300,success,bank,US,Pro
T00229,C011,2024-02-04,1200,success,upi,UK,Enterprise
T00230,C008,2024-03-02,300,success,card,UK,Pro
T00231,C002,2024-03-15,250,success,bank,Singapore,Pro
T00232,C098,2024-06-28,1200,failed,bank,US,Enterprise
T00233,C085,2024-01-26,99,success,upi,UK,Basic
T00234,C087,2024-01-17,120,success,card,US,Basic
T00235,C004,2024-02-25,700,success,bank,UK,Enterprise
T00236,C043,2024-03-01,700,success,bank,Germany,Enterprise
T00237,C090,2024-05-06,1200,failed,card,India,Enterprise
T00238,C032,2024-03-07,250,success,card,Singapore,Pro
T00239,C095,2024-04-26,300,failed,card,Singapore,Pro
T00240,C085,2024-01-08,900,success,upi,Germany,Enterprise
T00241,C049,2024-06-29,700,success,bank,US,Enterprise
T00242,C055,2024-04-29,350,success,upi,UK,Pro
T00243,C048,2024-03-09,99,success,upi,Germany,Basic
T00244,C082,2024-02-28,150,success,bank,India,Basic
T00245,C066,2024-02-05,120,success,upi,Singapore,Basic
T00246,C074,2024-05-09,300,failed,bank,India,Pro
T00247,C078,2024-01-03,700,success,card,India,Enterprise
T00248,C082,2024-06-16,350,success,upi,US,Pro
T00249,C010,2024-02-15,150,success,upi,Germany,Basic
T00250,C087,2024-05-23,900,failed,card,Singapore,Enterprise
T00251,C053,2024-04-24,700,success,card,Singapore,Enterprise
T00252,C094,2024-02-26,350,success,card,UK,Pro
T00253,C069,2024-05-27,150,success,card,UK,Basic
T00254,C041,2024-01-16,900,success,upi,UK,Enterprise
T00255,C075,2024-02-15,150,success,card,UK,Basic
T00256,C022,2024-05-13,120,success,bank,US,Basic
T00257,C085,2024-01-15,120,success,upi,Singapore,Basic
T00258,C035,2024-03-26,250,success,upi,UK,Pro
T00259,C085,2024-04-05,150,failed,card,UK,Basic
T00260,C073,2024-06-13,700,success,bank,US,Enterprise
T00261,C095,2024-06-18,120,success,bank,India,Basic
T00262,C091,2024-01-23,300,success,bank,US,Pro
T00263,C057,2024-06-21,350,success,bank,India,Pro
T00264,C028,2024-01-22,250,failed,bank,Singapore,Pro
T00265,C028,2024-03-10,350,success,card,Singapore,Pro
T00266,C095,2024-01-23,120,success,card,India,Basic
T00267,C078,2024-06-28,300,success,card,US,Pro
T00268,C009,2024-02-06,120,success,upi,Germany,Basic
T00269,C086,2024-06-05,250,success,bank,Germany,Pro
T00270,C064,2024-03-05,150,success,card,Singapore,Basic
T00271,C051,2024-03-19,250,success,bank,Singapore,Pro
T00272,C039,2024-01-28,250,success,upi,Germany,Pro
T00273,C043,2024-06-25,250,success,bank,US,Pro
T00274,C031,2024-05-28,900,failed,card,UK,Enterprise
T00275,C099,2024-06-20,250,failed,card,US,Pro
T00276,C043,2024-01-08,900,success,upi,UK,Enterprise
T00277,C064,2024-01-02,99,success,upi,Germany,Basic
T00278,C018,2024-03-22,250,success,bank,US,Pro
T00279,C048,2024-04-23,150,success,card,Germany,Basic
T00280,C095,2024-06-18,150,failed,card,Singapore,Basic
T00281,C080,2024-06-17,300,success,bank,Singapore,Pro
T00282,C046,2024-02-22,900,success,bank,US,Enterprise
T00283,C083,2024-05-17,150,success,card,UK,Basic
T00284,C061,2024-04-09,250,success,bank,US,Pro
T00285,C100,2024-05-04,250,success,card,Singapore,Pro
T00286,C007,2024-04-05,350,success,card,Singapore,Pro
T00287,C054,2024-04-14,99,success,card,Singapore,Basic
T00288,C093,2024-05-14,150,success,upi,India,Basic
T00289,C063,2024-03-05,1200,success,card,India,Enterprise
T00290,C003,2024-04-08,150,success,card,Singapore,Basic
T00291,C005,2024-01-21,1200,success,card,Germany,Enterprise
T00292,C077,2024-04-09,120,success,upi,India,Basic
T00293,C090,2024-03-27,1200,success,upi,Germany,Enterprise
T00294,C093,2024-01-15,700,success,card,India,Enterprise
T00295,C090,2024-01-16,150,success,upi,India,Basic
T00296,C039,2024-06-29,150,success,card,UK,Basic
T00297,C014,2024-02-22,150,success,upi,UK,Basic
T00298,C062,2024-03-21,350,success,card,US,Pro
T00299,C096,2024-04-08,250,success,upi,Germany,Pro
T00300,C097,2024-04-24,300,success,card,Germany,Pro
T00301,C052,2024-01-04,150,failed,card,Singapore,Basic
T00302,C045,2024-06-12,300,success,card,UK,Pro
T00303,C096,2024-03-29,900,success,card,UK,Enterprise
T00304,C100,2024-06-20,1200,success,upi,India,Enterprise
T00305,C049,2024-04-10,120,success,upi,US,Basic
T00306,C088,2024-05-19,1200,success,bank,Singapore,Enterprise
T00307,C014,2024-02-03,350,success,upi,UK,Pro
T00308,C060,2024-05-05,150,success,upi,India,Basic
T00309,C029,2024-03-29,150,failed,card,Singapore,Basic
T00310,C003,2024-02-09,350,success,card,Germany,Pro
T00311,C020,2024-05-21,700,failed,bank,Germany,Enterprise
T00312,C100,2024-05-04,120,success,bank,Germany,Basic
T00313,C044,2024-03-11,350,success,upi,India,Pro
T00314,C064,2024-05-21,150,success,bank,US,Basic
T00315,C060,2024-06-08,900,success,card,India,Enterprise
T00316,C028,2024-05-30,700,success,upi,Germany,Enterprise
T00317,C046,2024-06-14,99,success,bank,Singapore,Basic
T00318,C035,2024-05-19,900,success,bank,UK,Enterprise
T00319,C047,2024-03-28,700,success,upi,US,Enterprise
T00320,C014,2024-04-30,300,success,card,US,Pro
T00321,C083,2024-02-10,250,success,upi,UK,Pro
T00322,C033,2024-02-03,250,success,card,US,Pro
T00323,C090,2024-01-26,120,success,card,India,Basic
T00324,C061,2024-04-28,250,success,bank,UK,Pro
T00325,C038,2024-03-08,900,success,card,UK,Enterprise
T00326,C098,2024-02-01,120,success,card,India,Basic
T00327,C012,2024-06-07,120,success,card,India,Basic
T00328,C098,2024-03-01,300,success,card,Germany,Pro
T00329,C036,2024-03-29,250,success,bank,India,Pro
T00330,C003,2024-02-21,1200,success,card,Germany,Enterprise
T00331,C076,2024-04-06,900,success,upi,Germany,Enterprise
T00332,C037,2024-01-21,99,success,upi,US,Basic
T00333,C013,2024-04-12,900,success,upi,Germany,Enterprise
T00334,C039,2024-01-12,120,failed,upi,India,Basic
T00335,C037,2024-04-23,350,success,bank,India,Pro
T00336,C027,2024-01-21,1200,success,bank,Singapore,Enterprise
T00337,C006,2024-02-08,1200,success,card,UK,Enterprise
T00338,C075,2024-06-04,120,success,card,Germany,Basic
T00339,C094,2024-05-30,99,success,card,India,Basic
T00340,C063,2024-06-02,99,success,card,India,Basic
T00341,C037,2024-02-24,350,failed,upi,Germany,Pro
T00342,C017,2024-05-28,99,success,upi,UK,Basic
T00343,C082,2024-04-21,700,success,upi,UK,Enterprise
T00344,C025,2024-05-31,1200,success,bank,Singapore,Enterprise
T00345,C082,2024-04-17,150,success,bank,Singapore,Basic
T00346,C084,2024-06-25,300,success,bank,Germany,Pro
T00347,C093,2024-03-15,700,success,upi,UK,Enterprise
T00348,C076,2024-06-13,700,success,bank,India,Enterprise
T00349,C080,2024-03-26,1200,success,bank,India,Enterprise
T00350,C004,2024-05-31,99,success,bank,India,Basic
T00351,C042,2024-01-12,700,success,card,India,Enterprise
T00352,C033,2024-02-10,350,success,bank,US,Pro
T00353,C048,2024-04-27,250,success,upi,UK,Pro
T00354,C061,2024-02-10,350,success,bank,Singapore,Pro
T00355,C073,2024-03-31,250,success,card,India,Pro
T00356,C053,2024-02-10,250,success,card,US,Pro
T00357,C064,2024-04-01,700,success,bank,India,Enterprise
T00358,C019,2024-05-02,350,success,bank,Singapore,Pro
T00359,C069,2024-01-24,900,success,upi,Germany,Enterprise
T00360,C086,2024-06-24,120,success,card,US,Basic
T00361,C079,2024-05-02,150,success,card,US,Basic
T00362,C047,2024-03-18,250,success,bank,Singapore,Pro
T00363,C097,2024-02-25,700,success,card,UK,Enterprise
T00364,C015,2024-01-13,250,success,card,India,Pro
T00365,C094,2024-05-16,900,success,bank,Singapore,Enterprise
T00366,C048,2024-06-07,900,failed,bank,UK,Enterprise
T00367,C073,2024-02-21,1200,success,upi,India,Enterprise
T00368,C055,2024-02-14,99,success,card,India,Basic
T00369,C065,2024-05-09,350,success,bank,UK,Pro
T00370,C072,2024-02-16,250,success,upi,India,Pro
T00371,C023,2024-06-10,120,success,card,UK,Basic
T00372,C016,2024-05-15,99,success,upi,India,Basic
T00373,C036,2024-02-19,150,success,bank,US,Basic
T00374,C004,2024-02-12,250,failed,card,Germany,Pro
T00375,C093,2024-01-23,150,success,upi,UK,Basic
T00376,C028,2024-03-17,1200,success,upi,US,Enterprise
T00377,C100,2024-03-01,350,success,bank,Singapore,Pro
T00378,C099,2024-05-04,99,success,bank,US,Basic
T00379,C091,2024-03-07,900,success,upi,US,Enterprise
T00380,C089,2024-03-30,900,success,bank,UK,Enterprise
T00381,C046,2024-04-26,250,success,card,UK,Pro
T00382,C081,2024-02-25,300,success,bank,UK,Pro
T00383,C059,2024-01-04,700,success,card,UK,Enterprise
T00384,C023,2024-01-19,120,success,upi,US,Basic
T00385,C035,2024-06-29,150,success,upi,UK,Basic
T00386,C067,2024-06-08,1200,success,upi,India,Enterprise
T00387,C016,2024-02-06,350,success,card,Singapore,Pro
T00388,C032,2024-02-15,99,success,card,Germany,Basic
T00389,C067,2024-04-07,300,success,bank,Germany,Pro
T00390,C080,2024-05-27,700,failed,card,UK,Enterprise
T00391,C089,2024-03-27,150,success,bank,India,Basic
T00392,C094,2024-04-28,120,failed,bank,UK,Basic
T00393,C097,2024-01-14,120,success,upi,Germany,Basic
T00394,C065,2024-06-11,250,success,upi,US,Pro
T00395,C011,2024-02-08,350,success,bank,Germany,Pro
T00396,C079,2024-03-09,900,success,upi,US,Enterprise
T00397,C022,2024-03-02,1200,success,upi,India,Enterprise
T00398,C082,2024-05-30,900,failed,card,India,Enterprise
T00399,C004,2024-05-29,350,success,bank,US,Pro
T00400,C012,2024-03-17,120,success,bank,US,Basic
T00401,C061,2024-02-03,300,success,card,Singapore,Pro
T00402,C072,2024-03-02,1200,success,bank,UK,Enterprise
T00403,C085,2024-04-10,900,success,bank,US,Enterprise
T00404,C057,2024-02-11,700,success,upi,Germany,Enterprise
T00405,C013,2024-04-10,1200,success,card,India,Enterprise
T00406,C094,2024-04-27,99,success,card,US,Basic
T00407,C090,2024-04-28,120,success,card,US,Basic
T00408,C042,2024-06-10,120,success,card,Singapore,Basic
T00409,C082,2024-05-03,150,success,upi,India,Basic
T00410,C019,2024-04-15,700,success,bank,India,Enterprise
T00411,C008,2024-04-26,120,success,upi,India,Basic
T00412,C032,2024-03-07,300,success,bank,UK,Pro
T00413,C059,2024-04-07,700,success,bank,Singapore,Enterprise
T00414,C036,2024-06-16,700,success,upi,Singapore,Enterprise
T00415,C012,2024-04-05,300,failed,bank,Germany,Pro
T00416,C094,2024-02-05,700,success,card,India,Enterprise
T00417,C089,2024-03-11,250,success,bank,US,Pro
T00418,C060,2024-02-21,300,success,bank,Singapore,Pro
T00419,C057,2024-02-23,150,success,bank,Singapore,Basic
T00420,C028,2024-01-21,120,failed,card,Germany,Basic
T00421,C020,2024-05-10,350,success,card,India,Pro
T00422,C047,2024-03-25,900,success,card,Germany,Enterprise
T00423,C045,2024-04-14,900,success,card,UK,Enterprise
T00424,C014,2024-04-23,300,success,card,UK,Pro
T00425,C004,2024-05-30,700,success,bank,Singapore,Enterprise
T00426,C036,2024-05-02,350,success,card,US,Pro
T00427,C082,2024-04-29,1200,success,bank,US,Enterprise
T00428,C033,2024-01-19,150,success,bank,Singapore,Basic
T00429,C008,2024-04-18,120,success,card,Germany,Basic
T00430,C062,2024-03-06,1200,success,upi,Singapore,Enterprise
T00431,C042,2024-04-24,120,success,upi,US,Basic
T00432,C003,2024-03-03,99,failed,upi,UK,Basic
T00433,C055,2024-01-04,300,success,upi,UK,Pro
T00434,C024,2024-06-26,99,success,upi,India,Basic
T00435,C040,2024-03-21,300,success,upi,India,Pro
T00436,C088,2024-06-13,250,success,upi,Singapore,Pro
T00437,C061,2024-05-15,120,success,card,Germany,Basic
T00438,C006,2024-03-19,700,failed,bank,UK,Enterprise
T00439,C094,2024-02-17,250,success,bank,Germany,Pro
T00440,C084,2024-04-12,250,success,card,UK,Pro
T00441,C021,2024-04-13,120,success,bank,Singapore,Basic
T00442,C065,2024-01-16,300,success,upi,Germany,Pro
T00443,C062,2024-05-28,250,success,card,Singapore,Pro
T00444,C002,2024-01-22,1200,success,upi,US,Enterprise
T00445,C024,2024-04-01,120,failed,upi,Singapore,Basic
T00446,C090,2024-02-20,250,failed,card,UK,Pro
T00447,C051,2024-01-19,350,success,card,Germany,Pro
T00448,C033,2024-02-17,150,success,card,US,Basic
T00449,C021,2024-06-11,150,success,bank,UK,Basic
T00450,C052,2024-05-24,350,success,card,US,Pro
T00451,C065,2024-01-03,120,success,card,India,Basic
T00452,C068,2024-05-04,99,success,bank,Germany,Basic
T00453,C077,2024-04-28,350,success,card,US,Pro
T00454,C062,2024-03-24,1200,success,upi,Germany,Enterprise
T00455,C009,2024-04-20,1200,success,bank,Germany,Enterprise
T00456,C082,2024-02-09,1200,success,card,Germany,Enterprise
T00457,C066,2024-02-03,900,success,card,US,Enterprise
T00458,C066,2024-01-09,900,success,card,UK,Enterprise
T00459,C012,2024-06-01,700,success,upi,India,Enterprise
T00460,C017,2024-02-09,250,success,upi,India,Pro
T00461,C005,2024-03-25,300,success,bank,UK,Pro
T00462,C028,2024-06-06,900,failed,card,Singapore,Enterprise
T00463,C059,2024-01-15,1200,success,bank,Singapore,Enterprise
T00464,C088,2024-05-14,120,failed,bank,US,Basic
T00465,C067,2024-06-25,300,success,upi,India,Pro
T00466,C061,2024-01-31,150,success,upi,Singapore,Basic
T00467,C032,2024-05-02,300,success,bank,UK,Pro
T00468,C010,2024-03-06,350,success,upi,Singapore,Pro
T00469,C023,2024-03-18,300,success,bank,Germany,Pro
T00470,C069,2024-02-18,1200,success,upi,US,Enterprise
T00471,C080,2024-03-22,700,success,bank,UK,Enterprise
T00472,C059,2024-03-28,900,success,card,India,Enterprise
T00473,C046,2024-01-19,1200,success,card,Germany,Enterprise
T00474,C071,2024-05-31,700,success,upi,Germany,Enterprise
T00475,C002,2024-01-12,250,success,bank,UK,Pro
T00476,C025,2024-06-07,700,success,upi,UK,Enterprise
T00477,C027,2024-03-31,300,success,upi,India,Pro
T00478,C071,2024-04-27,150,success,upi,UK,Basic
T00479,C094,2024-04-07,150,success,card,Singapore,Basic
T00480,C033,2024-02-24,250,success,card,UK,Pro
T00481,C068,2024-03-11,120,success,upi,UK,Basic
T00482,C058,2024-03-30,120,success,bank,Singapore,Basic
T00483,C076,2024-02-19,99,success,card,India,Basic
T00484,C078,2024-03-24,1200,success,upi,US,Enterprise
T00485,C085,2024-03-13,300,success,upi,India,Pro
